seed_text(prime_text),generated _text,perplexity,random,
,"best rates on hotel de la playa playa del carmen. plan your next trip with expedia.
",127.1828052,0.044146436,
,"best rates on the san fronticon play your next trip with expedia.
",48.56263548,0.04132525,
,"book a hotel near station stadion. save up to 50% on your reservation.
",50.71103605,0.040208082,
,"book at hotel saint petic barcelona. no reservation costs. great rates.
",45.54576405,0.038157788,
,"book your hotel in berlin, ma online. no reservation costs. great rates.
",36.51511936,0.035190621,
,"book at the stanion hotel, tel aviv. no reservation costs. great rates.
",49.10236442,0.03502483,
,"book a hotel near mintic square. save up to 50% on your reservation.
",41.86418795,0.033682503,
,"book at the lanch hotel and spa, killirn. no reservation costs. great rates.
",30.12526457,0.026544196,
,"book your hotel in barcelona online. no reservation costs. great rates.
",35.90983426,0.026489458,
,"book your hotel in bellin mi online. no reservation costs. great rates.
",43.38675819,0.018428244,
,"book your hotel in bata online. no reservation costs. great rates.
",28.04976334,0.017214769,
,"book at the starlington hotel, london. no reservation costs. great rates.
",30.96077533,0.016478408,
,"best rates on hall palace hotel & suites. plan your next trip with expedia.
",81.82399458,0.015958145,
,"save on your hotel in dallas, tn and.
",50.9058234,0.011758186,
,"best rates or refund + $50 coupon. save big on hotels in san juse.
",37.39001597,0.008301141,
,"book at the beach hotel, lisbon
",53.6739579,0.006221861,
,"book your hotel in belfast online. no reservation costs. great rates.
",47.23018595,0.004059319,
,,,,45.27680803
